,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
0,Magical,Autumn Variations (Fan Living Room Sessions),2023-10-02,1,0V0jxLGonu3pJV6hOl8CSK,spotify:track:0V0jxLGonu3pJV6hOl8CSK,0.748,0.658,0.632,7.33e-05,0.169,-8.492,0.0298,135.924,0.464,60,194277
1,England,Autumn Variations (Fan Living Room Sessions),2023-10-02,2,4OZoyD5m8Mrc0CMsAxBCU6,spotify:track:4OZoyD5m8Mrc0CMsAxBCU6,0.641,0.622,0.666,8.63e-05,0.513,-10.786,0.0423,126.934,0.52,57,226756
2,Amazing,Autumn Variations (Fan Living Room Sessions),2023-10-02,3,6rVxvys4tcXsNuw2xoKsLl,spotify:track:6rVxvys4tcXsNuw2xoKsLl,0.429,0.809,0.664,1.55e-06,0.131,-7.265,0.0373,116.996,0.374,58,245813
3,Plastic Bag,Autumn Variations (Fan Living Room Sessions),2023-10-02,4,11osH1qPIktZAVxjRd8EnW,spotify:track:11osH1qPIktZAVxjRd8EnW,0.621,0.713,0.727,0.0,0.0751,-6.551,0.0528,120.016,0.384,59,229850
4,Blue,Autumn Variations (Fan Living Room Sessions),2023-10-02,5,4MIe9vXY61PuUeFSq1x8rM,spotify:track:4MIe9vXY61PuUeFSq1x8rM,0.888,0.668,0.314,0.0,0.222,-8.275,0.0298,78.019,0.414,56,153899
5,American Town,Autumn Variations (Fan Living Room Sessions),2023-10-02,6,58oljhgRB2FFtF1l2v31QJ,spotify:track:58oljhgRB2FFtF1l2v31QJ,0.736,0.74,0.652,0.0,0.348,-5.668,0.0601,105.025,0.715,64,197976
6,That’s On Me,Autumn Variations (Fan Living Room Sessions),2023-10-02,7,4W8EmeDnNxqRXEeVSpHDn7,spotify:track:4W8EmeDnNxqRXEeVSpHDn7,0.634,0.822,0.696,0.0,0.0624,-6.275,0.114,106.995,0.575,57,227398
7,Page,Autumn Variations (Fan Living Room Sessions),2023-10-02,8,3pBpGx6jM4cQGzn1EMx963,spotify:track:3pBpGx6jM4cQGzn1EMx963,0.623,0.774,0.604,3.48e-06,0.0889,-6.385,0.0404,146.081,0.62,55,231021
8,Midnight,Autumn Variations (Fan Living Room Sessions),2023-10-02,9,36TfNKDK3IuTC6E3UmfZ20,spotify:track:36TfNKDK3IuTC6E3UmfZ20,0.425,0.555,0.824,7.78e-05,0.082,-5.843,0.0591,178.034,0.685,55,179538
9,Spring,Autumn Variations (Fan Living Room Sessions),2023-10-02,10,4JV6AhDromrfPIVXuzEijV,spotify:track:4JV6AhDromrfPIVXuzEijV,0.923,0.644,0.317,0.00159,0.104,-11.565,0.0317,96.081,0.667,54,178615
10,Punchline,Autumn Variations (Fan Living Room Sessions),2023-10-02,11,6sOgmZZirRoPic91xQ0pl6,spotify:track:6sOgmZZirRoPic91xQ0pl6,0.844,0.534,0.407,0.0,0.113,-7.994,0.0261,154.059,0.616,57,206008
11,When Will I Be Alright,Autumn Variations (Fan Living Room Sessions),2023-10-02,12,6VV2HwNlosZHFPYyPezX4Q,spotify:track:6VV2HwNlosZHFPYyPezX4Q,0.935,0.614,0.244,5.64e-05,0.112,-9.345,0.0301,126.381,0.488,54,175878
12,The Day I Was Born,Autumn Variations (Fan Living Room Sessions),2023-10-02,13,45a6lZchOMRp90XN1gC4II,spotify:track:45a6lZchOMRp90XN1gC4II,0.657,0.6,0.667,0.0,0.327,-5.504,0.0443,135.083,0.725,53,252318
13,Head > Heels,Autumn Variations (Fan Living Room Sessions),2023-10-02,14,3V0WFHUDCYSCQkhnK9Yzn5,spotify:track:3V0WFHUDCYSCQkhnK9Yzn5,0.759,0.711,0.328,0.000538,0.116,-9.172,0.0592,77.539,0.347,53,253881
14,Magical - Live from Brantlie’s Living Room,Autumn Variations (Fan Living Room Sessions),2023-10-02,1,26eyElBDPNcCotyeb8GER6,spotify:track:26eyElBDPNcCotyeb8GER6,0.807,0.54,0.257,0.0,0.11,-8.223,0.0312,80.298,0.484,52,174343
15,England - Live from Maynard’s Living Room,Autumn Variations (Fan Living Room Sessions),2023-10-02,2,26vVj2jF7opp0pTFTSNtZS,spotify:track:26vVj2jF7opp0pTFTSNtZS,0.871,0.685,0.325,0.0,0.105,-6.706,0.0429,131.851,0.382,51,201568
16,Amazing - Live from Kia’s Living Room,Autumn Variations (Fan Living Room Sessions),2023-10-02,3,4hjpUPLh1WJ1tBNjFsgppU,spotify:track:4hjpUPLh1WJ1tBNjFsgppU,0.699,0.911,0.353,0.0,0.146,-5.083,0.056,127.15,0.925,51,174165
17,Plastic Bag - Live from Alex’s Living Room,Autumn Variations (Fan Living Room Sessions),2023-10-02,4,4uLja2eQJ8mBoA4QmVy4Jb,spotify:track:4uLja2eQJ8mBoA4QmVy4Jb,0.872,0.722,0.274,0.0,0.112,-6.234,0.0414,126.456,0.534,51,218887
18,Blue - Live from Sarom’s Living Room,Autumn Variations (Fan Living Room Sessions),2023-10-02,5,5SBrQlvC8l1tW5wNSi0Rlu,spotify:track:5SBrQlvC8l1tW5wNSi0Rlu,0.893,0.441,0.319,0.0,0.241,-7.085,0.0351,168.399,0.389,50,141203
19,American Town - Live from Kari’s Living Room,Autumn Variations (Fan Living Room Sessions),2023-10-02,6,0nWELRrZYYeJaynDOVjggv,spotify:track:0nWELRrZYYeJaynDOVjggv,0.813,0.606,0.475,0.0,0.102,-4.255,0.045,106.149,0.631,55,195749
20,That’s On Me - Live from Narine’s Living Room,Autumn Variations (Fan Living Room Sessions),2023-10-02,7,2PAMpzkXfCU4NFs1IiJVhY,spotify:track:2PAMpzkXfCU4NFs1IiJVhY,0.748,0.685,0.665,0.0,0.0533,-5.445,0.0877,113.777,0.776,50,191808
21,Page - Live from Deborah’s Living Room,Autumn Variations (Fan Living Room Sessions),2023-10-02,8,1roO8TRLqZ0ja57mILJQlF,spotify:track:1roO8TRLqZ0ja57mILJQlF,0.883,0.479,0.416,0.0,0.0843,-4.782,0.0371,78.837,0.353,49,211849
22,Midnight - Live from John’s Living Room,Autumn Variations (Fan Living Room Sessions),2023-10-02,9,0aP608S0wKfse1LlDy9aZL,spotify:track:0aP608S0wKfse1LlDy9aZL,0.881,0.606,0.317,0.0,0.117,-7.322,0.044,99.691,0.479,49,151876
23,Spring - Live from Emily’s Living Room,Autumn Variations (Fan Living Room Sessions),2023-10-02,10,2Z59T7Ukc34W3adhjcskXE,spotify:track:2Z59T7Ukc34W3adhjcskXE,0.908,0.555,0.235,0.0,0.103,-10.655,0.036,102.194,0.366,49,153533
24,Punchline - Live from Holly’s Living Room,Autumn Variations (Fan Living Room Sessions),2023-10-02,11,6XyGcm4JJq1KL6CWGk4joO,spotify:track:6XyGcm4JJq1KL6CWGk4joO,0.836,0.639,0.407,0.0,0.0876,-5.581,0.0306,84.575,0.414,49,186662
25,When Will I Be Alright - Live from Kristen’s Living Room,Autumn Variations (Fan Living Room Sessions),2023-10-02,12,6r8VpUHx6dI2ZtZrVTZ7Vt,spotify:track:6r8VpUHx6dI2ZtZrVTZ7Vt,0.943,0.584,0.215,0.0,0.0962,-8.765,0.0335,132.456,0.362,48,166769
26,The Day I Was Born - Live from Danielle’s Living Room,Autumn Variations (Fan Living Room Sessions),2023-10-02,13,2eByhz5FCBvW0BoLl1I1vr,spotify:track:2eByhz5FCBvW0BoLl1I1vr,0.777,0.674,0.472,0.0,0.217,-4.707,0.0421,77.027,0.607,48,214960
27,Head > Heels - Live from Keira’s Living Room,Autumn Variations (Fan Living Room Sessions),2023-10-02,14,09RjA5mm3ElFtMXy0f1I25,spotify:track:09RjA5mm3ElFtMXy0f1I25,0.92,0.693,0.139,0.0,0.0928,-6.6,0.0414,80.305,0.354,48,232902
28,Magical,Autumn Variations,2023-09-29,1,20uknEOwx3PpiGL2Es2vCg,spotify:track:20uknEOwx3PpiGL2Es2vCg,0.748,0.658,0.632,7.33e-05,0.169,-8.492,0.0298,135.924,0.464,71,194277
29,England,Autumn Variations,2023-09-29,2,5eL45g9qvFvydEYcmv4zic,spotify:track:5eL45g9qvFvydEYcmv4zic,0.641,0.622,0.666,8.63e-05,0.513,-10.786,0.0423,126.934,0.52,61,226756
30,Amazing,Autumn Variations,2023-09-29,3,4fUMgL19kixzHhrttFZXsD,spotify:track:4fUMgL19kixzHhrttFZXsD,0.429,0.809,0.664,1.55e-06,0.131,-7.265,0.0373,116.996,0.374,64,245813
31,Plastic Bag,Autumn Variations,2023-09-29,4,1qvqgg3r67ayzIfuBMTJSV,spotify:track:1qvqgg3r67ayzIfuBMTJSV,0.621,0.713,0.727,0.0,0.0751,-6.551,0.0528,120.016,0.384,62,229850
32,Blue,Autumn Variations,2023-09-29,5,3SWLFqvadQmOMpEfrp4FMU,spotify:track:3SWLFqvadQmOMpEfrp4FMU,0.888,0.668,0.314,0.0,0.222,-8.275,0.0298,78.019,0.414,66,153899
33,American Town,Autumn Variations,2023-09-29,6,4rDvBpFgKbgJepZTaP0rD6,spotify:track:4rDvBpFgKbgJepZTaP0rD6,0.736,0.74,0.652,0.0,0.348,-5.668,0.0601,105.025,0.715,72,197976
34,That’s On Me,Autumn Variations,2023-09-29,7,6n8UfmEOGvDGxYRUrGf4z7,spotify:track:6n8UfmEOGvDGxYRUrGf4z7,0.634,0.822,0.696,0.0,0.0624,-6.275,0.114,106.995,0.575,61,227398
35,Page,Autumn Variations,2023-09-29,8,3LP0XwrMJ6ShNSrExi7jYs,spotify:track:3LP0XwrMJ6ShNSrExi7jYs,0.623,0.774,0.604,3.48e-06,0.0889,-6.385,0.0404,146.081,0.62,60,231021
36,Midnight,Autumn Variations,2023-09-29,9,2OTISEHIoZio1AKmKpV9BY,spotify:track:2OTISEHIoZio1AKmKpV9BY,0.425,0.555,0.824,7.78e-05,0.082,-5.843,0.0591,178.034,0.685,59,179538
37,Spring,Autumn Variations,2023-09-29,10,5xlCPBwakaVR2uwJG8Zph3,spotify:track:5xlCPBwakaVR2uwJG8Zph3,0.923,0.644,0.317,0.00159,0.104,-11.565,0.0317,96.081,0.667,59,178615
38,Punchline,Autumn Variations,2023-09-29,11,4gqRVDvnILW0cvBWZzKcRf,spotify:track:4gqRVDvnILW0cvBWZzKcRf,0.844,0.534,0.407,0.0,0.113,-7.994,0.0261,154.059,0.616,64,206008
39,When Will I Be Alright,Autumn Variations,2023-09-29,12,5S1CxlxcDGMf6c0WcEvF4K,spotify:track:5S1CxlxcDGMf6c0WcEvF4K,0.935,0.614,0.244,5.64e-05,0.112,-9.345,0.0301,126.381,0.488,59,175878
40,The Day I Was Born,Autumn Variations,2023-09-29,13,6No5bWFaZUgbIvoH9gOpvb,spotify:track:6No5bWFaZUgbIvoH9gOpvb,0.657,0.6,0.667,0.0,0.327,-5.504,0.0443,135.083,0.725,58,252318
41,Head > Heels,Autumn Variations,2023-09-29,14,0ehxgCWdhKRdnRn9MmrUbu,spotify:track:0ehxgCWdhKRdnRn9MmrUbu,0.759,0.711,0.328,0.000538,0.116,-9.172,0.0592,77.539,0.347,58,253881
42,Boat,- (Deluxe),2023-05-05,1,6jemILri7l5LuPhKs2nuXr,spotify:track:6jemILri7l5LuPhKs2nuXr,0.758,0.47,0.203,2.41e-06,0.312,-8.676,0.0371,153.578,0.325,69,185675
